genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes,organism,short_name,group,seq_id,signalp_prediction,signalp_prob,signalp_confidence,has_signal_peptide,cs_position,psortb_localization,psortb_score,psortb_modules,psortb_n_modules,surface_exposed,score_Extracellular,score_OuterMembrane,score_Periplasmic,score_CytoplasmicMembrane,score_Cytoplasmic
GCF_027571405.1,WP_193787608.1,cytochrome c3 family protein [Methylocystis parvus],512,21,0,21,44,,,,,,Methylocystis parvus OBBP,M. parvus,Type II MOB (Alphaproteobacteria),seq0011,OTHER,0.9156,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_235044906.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],893,19,0,19,48,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0012,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.9726,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000007985.2,WP_010943529.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],979,16,0,16,48,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0013,SP,0.6845,low,yes,CS pos: 38-39. Pr: 0.6436,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000685155.1,WP_048088239.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],746,16,0,16,32,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0014,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.9799,Extracellular,9.64,ECSVM,1,yes,9.64,0.23,0.11,0.01,0.01
GCF_000685155.1,WP_048092373.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],941,16,0,16,34,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0015,SP,0.9991,high,yes,CS pos: 24-25. Pr: 0.9763,Extracellular,9.64,ECSVM,1,yes,9.64,0.23,0.11,0.01,0.01
GCA_030583625.1,WKZ14942.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],325,14,0,14,29,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0016,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010943511.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],710,14,0,14,38,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0017,SP,0.9991,high,yes,CS pos: 34-35. Pr: 0.9658,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000008325.1,WP_143708438.1,NHL repeat-containing protein [Methylococcus capsulatus],923,14,0,14,30,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0018,SP,0.9987,high,yes,CS pos: 22-23. Pr: 0.9653,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_011066545.1,WP_099326890.1,MULTISPECIES: cytochrome c3 family protein [Candidatus Kuenenia],338,14,0,14,29,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0019,LIPO,1.0000,high,yes,CS pos: 21-22. Pr: 0.9958,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000007985.2,WP_010943359.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],691,13,0,13,42,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0020,LIPO,1.0000,high,yes,CS pos: 20-21. Pr: 0.9948,Extracellular,9.64,ECSVM,1,yes,9.64,0.23,0.11,0.01,0.01
GCF_000007985.2,WP_010943836.1,cytochrome c3 family protein [Geobacter sulfurreducens],480,13,0,13,30,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0021,SP,0.9992,high,yes,CS pos: 22-23. Pr: 0.9745,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_000685155.1,WP_048092725.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],673,13,0,13,28,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0022,SP,0.9981,high,yes,CS pos: 29-30. Pr: 0.9682,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000949635.1,WP_052562749.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],341,13,0,13,29,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0023,LIPO,0.9991,high,yes,CS pos: 21-22. Pr: 0.9878,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000007985.2,WP_010941255.1,cytochrome c3 family protein [Geobacter sulfurreducens],329,12,0,12,26,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0024,SP,0.9991,high,yes,CS pos: 22-23. Pr: 0.9766,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000007985.2,WP_010941330.1,cytochrome c [Geobacter sulfurreducens],284,12,0,12,25,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0025,SP,0.9194,high,yes,CS pos: 30-31. Pr: 0.8780,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000007985.2,WP_010942639.1,cytochrome c3 family protein [Geobacter sulfurreducens],343,12,0,12,24,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0026,SP,0.9936,high,yes,CS pos: 25-26. Pr: 0.9574,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000007985.2,WP_010943365.1,C-type polyheme cytochrome OmcC [Geobacter sulfurreducens],768,12,0,12,25,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0027,LIPO,1.0000,high,yes,CS pos: 23-24. Pr: 0.9963,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000007985.2,WP_010943369.1,C-type polyheme cytochrome OmcB [Geobacter sulfurreducens],744,12,0,12,25,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0028,LIPO,1.0000,high,yes,CS pos: 23-24. Pr: 0.9968,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000007985.2,WP_010943566.1,selenite/tellurite reduction operon c-type cytochrome ExtM [Geobacter sulfurreducens],623,12,0,12,27,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0029,LIPO,0.8983,medium,yes,CS pos: 22-23. Pr: 0.8778,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000685155.1,WP_048088240.1,S-layer protein domain-containing protein [Candidatus Methanoperedens nitratireducens],936,12,0,12,26,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0030,OTHER,0.8142,medium,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048089032.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],362,12,0,12,26,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0031,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048092723.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],554,12,0,12,24,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0032,OTHER,0.9120,high,no,,not_submitted,,,,no,,,,,
GCA_030583625.1,WKZ14811.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],333,11,0,11,25,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0033,OTHER,0.6216,low,no,,not_submitted,,,,no,,,,,
GCA_030583625.1,WKZ16184.1,MAG: NapC/NirT family cytochrome c [Candidatus Jettenia caeni],404,11,0,11,22,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0034,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_235044898.1,cytochrome C [Geobacter sulfurreducens],258,11,0,11,24,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0035,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000008325.1,WP_143708532.1,cytochrome c3 family protein [Methylococcus capsulatus],320,11,0,11,22,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0036,SP,0.9991,high,yes,CS pos: 32-33. Pr: 0.9750,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000685155.1,WP_048092727.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],883,11,0,11,26,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0037,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_157833958.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],315,11,0,11,23,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0038,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9783,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000786775.1,WP_034404551.1,hypothetical protein [Candidatus Scalindua brodae],400,11,0,11,24,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0039,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052564208.1,multiheme c-type cytochrome [Candidatus Brocadia sinica],408,11,0,11,22,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0040,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_070067272.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],407,11,0,11,25,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0041,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_143299191.1,hypothetical protein [Candidatus Brocadia sapporoensis],253,11,0,11,23,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0042,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_011066545.1,WP_099325822.1,MULTISPECIES: NapC/NirT family cytochrome c [Candidatus Kuenenia],404,11,0,11,22,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0043,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCA_030583625.1,WKZ16135.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],480,10,0,10,23,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0044,OTHER,0.9999,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010942843.1,GSU2203 family decaheme c-type cytochrome [Geobacter sulfurreducens],363,10,0,10,21,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0045,LIPO,1.0000,high,yes,CS pos: 25-26. Pr: 0.9905,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000007985.2,WP_010943565.1,selenite/tellurite reduction operon b-type cytochrome iron-sulfur cluster-binding subunit ExtO [Geobacter sulfurreducens],421,10,0,10,22,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0046,SP,0.9991,high,yes,CS pos: 24-25. Pr: 0.9725,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_000007985.2,WP_010943843.1,cytochrome c3 family protein [Geobacter sulfurreducens],576,10,0,10,25,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0047,SP,0.9991,high,yes,CS pos: 22-23. Pr: 0.9586,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000146165.2,WP_011071629.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],318,10,0,10,20,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0048,SP,0.9991,high,yes,CS pos: 25-26. Pr: 0.9774,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000146165.2,WP_011071811.1,OmcA/MtrC family decaheme c-type cytochrome [Shewanella oneidensis],759,10,0,10,26,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0049,LIPO,1.0000,high,yes,CS pos: 22-23. Pr: 0.9958,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000146165.2,WP_011071900.1,decaheme c-type cytochrome MtrA [Shewanella oneidensis],333,10,0,10,21,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0050,SP,0.9990,high,yes,CS pos: 34-35. Pr: 0.9756,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000146165.2,WP_011071901.1,decaheme c-type cytochrome MtrC [Shewanella oneidensis],671,10,0,10,23,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0051,LIPO,1.0000,high,yes,CS pos: 24-25. Pr: 0.9960,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000146165.2,WP_011071902.1,decaheme c-type cytochrome OmcA [Shewanella oneidensis],735,10,0,10,25,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0052,LIPO,1.0000,high,yes,CS pos: 26-27. Pr: 0.9961,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000146165.2,WP_011071903.1,decaheme c-type cytochrome MtrF [Shewanella oneidensis],639,10,0,10,25,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0053,LIPO,1.0000,high,yes,CS pos: 23-24. Pr: 0.9958,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000146165.2,WP_011071905.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],321,10,0,10,20,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0054,SP,0.9991,high,yes,CS pos: 30-31. Pr: 0.9783,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000146165.2,WP_238560522.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],316,10,0,10,21,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0055,SP,0.9746,high,yes,CS pos: 35-36. Pr: 0.9313,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000786775.1,WP_034401653.1,hypothetical protein [Candidatus Scalindua brodae],447,10,0,10,25,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0056,OTHER,0.9999,high,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052561545.1,cytochrome c3 family protein [Candidatus Brocadia sinica],384,10,0,10,24,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0057,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052564298.1,cytochrome c3 family protein [Candidatus Brocadia sinica],433,10,0,10,23,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0058,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_011066545.1,WP_164994282.1,hypothetical protein [Candidatus Kuenenia stuttgartensis],419,10,0,10,23,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0059,OTHER,0.9970,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010940947.1,cytochrome c3 family protein [Geobacter sulfurreducens],619,9,0,9,18,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0060,SP,0.9992,high,yes,CS pos: 24-25. Pr: 0.9716,CytoplasmicMembrane,10.00,CMSVM;ModHMM;Signal,3,no,0.00,0.00,0.00,10.00,0.00
GCF_000007985.2,WP_010941884.1,DmsE family decaheme c-type cytochrome [Geobacter sulfurreducens],337,9,0,9,22,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0061,LIPO,1.0000,high,yes,CS pos: 24-25. Pr: 0.9951,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_000007985.2,WP_010943759.1,cytochrome c3 family protein [Geobacter sulfurreducens],591,9,0,9,21,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0062,SP,0.9992,high,yes,CS pos: 25-26. Pr: 0.9703,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000007985.2,WP_235044958.1,cytochrome c3 family protein [Geobacter sulfurreducens],284,9,0,9,21,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0063,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000008325.1,WP_010959699.1,PKD domain-containing protein [Methylococcus capsulatus],969,9,0,9,24,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0064,SP,0.9990,high,yes,CS pos: 29-30. Pr: 0.9761,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000008325.1,WP_010961396.1,cytochrome c5530 family protein [Methylococcus capsulatus],1062,9,0,9,25,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0065,SP,0.9979,high,yes,CS pos: 36-37. Pr: 0.9678,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000008325.1,WP_041360666.1,hypothetical protein [Methylococcus capsulatus],1080,9,0,9,24,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0066,SP,0.7732,medium,yes,CS pos: 38-39. Pr: 0.4281,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000008325.1,WP_143708536.1,cytochrome C [Methylococcus capsulatus],1037,9,0,9,24,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0067,SP,0.9988,high,yes,CS pos: 35-36. Pr: 0.9685,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000019665.1,WP_148205258.1,multiheme c-type cytochrome [Candidatus Methylacidiphilum infernorum],719,9,0,9,19,,,,,,Methylacidiphilum infernorum V4,M. infernorum,Verrucomicrobial MOB,seq0068,SP,0.4967,low,yes,CS pos: 27-28. Pr: 0.3456,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_000091165.1,WP_015743395.1,hypothetical protein [Candidatus Methylomirabilis oxyfera],422,9,0,9,18,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0069,SP,0.9992,high,yes,CS pos: 26-27. Pr: 0.9703,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000091165.1,WP_044595708.1,"hypothetical protein, partial [Candidatus Methylomirabilis oxyfera]",291,9,0,9,20,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0070,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000214665.1,WP_238527351.1,carboxypeptidase regulatory-like domain-containing protein [Methylomonas methanica],552,9,0,9,20,,,,,,Methylomonas methanica,M. methanica,Type I MOB (Gammaproteobacteria),seq0071,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000297415.1,WP_009061861.1,multiheme c-type cytochrome [Candidatus Methylacidiphilum fumarolicum],715,9,0,9,19,,,,,,Methylacidiphilum fumariolicum SolV,M. fumariolicum,Verrucomicrobial MOB,seq0072,SP,0.9992,high,yes,CS pos: 21-22. Pr: 0.9792,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_027571405.1,WP_016920456.1,cytochrome c3 family protein [Methylocystis parvus],308,9,0,9,21,,,,,,Methylocystis parvus OBBP,M. parvus,Type II MOB (Alphaproteobacteria),seq0073,SP,0.9788,high,yes,CS pos: 31-32. Pr: 0.6944,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCA_030583625.1,WKZ14277.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],537,8,0,8,17,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0074,SP,0.9989,high,yes,CS pos: 22-23. Pr: 0.9776,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCA_030583625.1,WKZ14796.1,MAG: tetratricopeptide repeat protein [Candidatus Jettenia caeni],781,8,0,8,21,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0075,LIPO,0.9308,high,yes,CS pos: 18-19. Pr: 0.9103,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCA_030583625.1,WKZ14812.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],445,8,0,8,19,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0076,LIPO,0.9998,high,yes,CS pos: 29-30. Pr: 0.9877,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCA_030583625.1,WKZ14897.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],502,8,0,8,17,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0077,SP,0.9992,high,yes,CS pos: 21-22. Pr: 0.9775,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCA_030583625.1,WKZ15226.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],581,8,0,8,16,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0078,SP,0.9991,high,yes,CS pos: 26-27. Pr: 0.9697,Periplasmic,10.00,CytoSVM;PPSVM;SCL-BLAST;Signal,4,no,0.00,0.00,10.00,0.00,0.00
GCA_030583625.1,WKZ15625.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],836,8,0,8,19,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0079,SP,0.9989,high,yes,CS pos: 25-26. Pr: 0.9726,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCA_030583625.1,WKZ15807.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],530,8,0,8,17,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0080,SP,0.8323,medium,yes,CS pos: 30-31. Pr: 0.6089,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
