genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes
GCA_000007985.2,AAR36291.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],979,16,0,16,48,,,,,
GCA_000091165.1,CBE67887.1,protein of unknown function [Candidatus Methylomirabilis oxygeniifera],732,16,0,16,36,,,,,
GCA_000685155.1,KCZ70628.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",941,16,0,16,34,,,,,
GCA_000685155.1,KCZ73036.1,hypothetical protein ANME2D_00095 [Candidatus Methanoperedens nitroreducens],746,16,0,16,32,,,,,
GCF_000007985.2,WP_010943529.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],979,16,0,16,48,,,,,
GCF_000685155.1,WP_048088239.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],746,16,0,16,32,,,,,
GCF_000685155.1,WP_048092373.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],941,16,0,16,34,,,,,
GCA_000007985.2,AAR35867.2,LOW QUALITY PROTEIN: cytochrome c [Geobacter sulfurreducens PCA],426,15,0,15,32,,,,,
GCA_000007985.2,AAR36274.2,cytochrome c [Geobacter sulfurreducens PCA],710,14,0,14,38,,,,,
GCA_000008325.1,AAU90392.1,NHL domain/cytochrome c family protein [Methylococcus capsulatus str. Bath],930,14,0,14,30,,,,,
GCA_011066545.1,QII11906.1,putative multiheme cytochrome c protein [Candidatus Kuenenia stuttgartiensis],338,14,0,14,29,,,,,
GCA_030583625.1,WKZ14942.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],325,14,0,14,29,,,,,
GCF_000007985.2,WP_010943511.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],710,14,0,14,38,,,,,
GCF_000008325.1,WP_143708438.1,NHL repeat-containing protein [Methylococcus capsulatus],923,14,0,14,30,,,,,
GCF_011066545.1,WP_099326890.1,MULTISPECIES: cytochrome c3 family protein [Candidatus Kuenenia],338,14,0,14,29,,,,,
GCA_000007985.2,AAR36096.2,cytochrome c [Geobacter sulfurreducens PCA],691,13,0,13,42,,,,,
GCA_000007985.2,AAR36609.1,cytochrome c [Geobacter sulfurreducens PCA],480,13,0,13,30,,,,,
GCA_000091165.1,CBE67886.1,putative Cytochrome b subunit of formate dehydrogenase-like protein [Candidatus Methylomirabilis oxygeniifera],715,13,0,13,28,,,,,
GCA_000685155.1,KCZ70812.1,hypothetical protein ANME2D_02837 [Candidatus Methanoperedens nitroreducens],673,13,0,13,28,,,,,
GCA_000949635.1,GAN32610.1,hypothetical multiheme cytochrome C protein [Candidatus Brocadia sinica JPN1],349,13,0,13,29,,,,,
GCF_000007985.2,WP_010943359.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],691,13,0,13,42,,,,,
GCF_000007985.2,WP_010943836.1,cytochrome c3 family protein [Geobacter sulfurreducens],480,13,0,13,30,,,,,
GCF_000685155.1,WP_048092725.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],673,13,0,13,28,,,,,
GCF_000949635.1,WP_052562749.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],341,13,0,13,29,,,,,
GCA_000007985.2,AAR33923.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],329,12,0,12,26,,,,,
GCA_000007985.2,AAR34000.2,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],284,12,0,12,25,,,,,
GCA_000007985.2,AAR35372.1,cytochrome c [Geobacter sulfurreducens PCA],343,12,0,12,24,,,,,
GCA_000007985.2,AAR36103.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],768,12,0,12,25,,,,,
GCA_000007985.2,AAR36109.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],744,12,0,12,25,,,,,
GCA_000007985.2,AAR36327.2,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],623,12,0,12,27,,,,,
GCA_000685155.1,KCZ70811.1,hypothetical protein ANME2D_02836 [Candidatus Methanoperedens nitroreducens],554,12,0,12,24,,,,,
GCA_000685155.1,KCZ73037.1,DnaJ-class molecular chaperone with C-terminal Zn finger domain [Candidatus Methanoperedens nitroreducens],936,12,0,12,26,,,,,
GCA_000685155.1,KCZ73534.1,DnaJ-class molecular chaperone with C-terminal Zn finger domain [Candidatus Methanoperedens nitroreducens],362,12,0,12,26,,,,,
GCF_000007985.2,WP_010941255.1,cytochrome c3 family protein [Geobacter sulfurreducens],329,12,0,12,26,,,,,
GCF_000007985.2,WP_010941330.1,cytochrome c [Geobacter sulfurreducens],284,12,0,12,25,,,,,
GCF_000007985.2,WP_010942639.1,cytochrome c3 family protein [Geobacter sulfurreducens],343,12,0,12,24,,,,,
GCF_000007985.2,WP_010943365.1,C-type polyheme cytochrome OmcC [Geobacter sulfurreducens],768,12,0,12,25,,,,,
GCF_000007985.2,WP_010943369.1,C-type polyheme cytochrome OmcB [Geobacter sulfurreducens],744,12,0,12,25,,,,,
GCF_000007985.2,WP_010943566.1,selenite/tellurite reduction operon c-type cytochrome ExtM [Geobacter sulfurreducens],623,12,0,12,27,,,,,
GCF_000685155.1,WP_048088240.1,S-layer protein domain-containing protein [Candidatus Methanoperedens nitratireducens],936,12,0,12,26,,,,,
GCF_000685155.1,WP_048089032.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],362,12,0,12,26,,,,,
GCF_000685155.1,WP_048092723.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],554,12,0,12,24,,,,,
GCA_000007985.2,AAR36017.2,cytochrome c [Geobacter sulfurreducens PCA],310,11,0,11,25,,,,,
GCA_000685155.1,KCZ70813.1,hypothetical protein ANME2D_02838 [Candidatus Methanoperedens nitroreducens],883,11,0,11,26,,,,,
GCA_000685155.1,KCZ72437.1,hypothetical protein ANME2D_00864 [Candidatus Methanoperedens nitroreducens],315,11,0,11,23,,,,,
GCA_000786775.1,KHE92653.1,MAG: undeca heme containing cytochrome c protein [Candidatus Scalindua brodae],400,11,0,11,24,,,,,
GCA_000949635.1,GAN34149.1,multihaem cytochrome [Candidatus Brocadia sinica JPN1],408,11,0,11,22,,,,,
GCA_001753675.2,OQD45552.1,hypothetical protein BIY37_07875 [Candidatus Brocadia sapporoensis],407,11,0,11,25,,,,,
GCA_011066545.1,QII10663.1,putative undeca heme containing cytochrome c protein [Candidatus Kuenenia stuttgartiensis],404,11,0,11,22,,,,,
GCA_030583625.1,WKZ14811.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],333,11,0,11,25,,,,,
GCA_030583625.1,WKZ16184.1,MAG: NapC/NirT family cytochrome c [Candidatus Jettenia caeni],404,11,0,11,22,,,,,
GCF_000007985.2,WP_235044898.1,cytochrome C [Geobacter sulfurreducens],258,11,0,11,24,,,,,
GCF_000008325.1,WP_143708532.1,cytochrome c3 family protein [Methylococcus capsulatus],320,11,0,11,22,,,,,
GCF_000685155.1,WP_048092727.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],883,11,0,11,26,,,,,
GCF_000685155.1,WP_157833958.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],315,11,0,11,23,,,,,
GCF_000786775.1,WP_034404551.1,hypothetical protein [Candidatus Scalindua brodae],400,11,0,11,24,,,,,
GCF_000949635.1,WP_052564208.1,multiheme c-type cytochrome [Candidatus Brocadia sinica],408,11,0,11,22,,,,,
GCF_001753675.2,WP_070067272.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],407,11,0,11,25,,,,,
GCF_001753675.2,WP_143299191.1,hypothetical protein [Candidatus Brocadia sapporoensis],253,11,0,11,23,,,,,
GCF_011066545.1,WP_099325822.1,MULTISPECIES: NapC/NirT family cytochrome c [Candidatus Kuenenia],404,11,0,11,22,,,,,
GCA_000007985.2,AAR35579.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],363,10,0,10,21,,,,,
GCA_000007985.2,AAR36326.2,cytochrome c [Geobacter sulfurreducens PCA],421,10,0,10,22,,,,,
GCA_000007985.2,AAR36617.1,cytochrome c [Geobacter sulfurreducens PCA],576,10,0,10,25,,,,,
GCA_000146165.2,AAN54492.1,periplasmic decaheme cytochrome c DmsE [Shewanella oneidensis MR-1],318,10,0,10,20,,,,,
GCA_000146165.2,AAN54714.2,surface localized decaheme cytochrome c lipoprotein [Shewanella oneidensis MR-1],759,10,0,10,26,,,,,
GCA_000146165.2,AAN54830.1,extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA [Shewanella oneidensis MR-1],333,10,0,10,21,,,,,
GCA_000146165.2,AAN54831.1,extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC [Shewanella oneidensis MR-1],671,10,0,10,23,,,,,
GCA_000146165.2,AAN54832.1,extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA [Shewanella oneidensis MR-1],735,10,0,10,25,,,,,
GCA_000146165.2,AAN54833.1,extracellular respiratory system surface decaheme cytochrome c component MtrF [Shewanella oneidensis MR-1],639,10,0,10,25,,,,,
GCA_000146165.2,AAN54835.2,extracellular respiratory system periplasmic decaheme cytochrome c component MtrD [Shewanella oneidensis MR-1],321,10,0,10,20,,,,,
GCA_000146165.2,AAN57328.1,periplasmic decaheme cytochrome c MtrA family [Shewanella oneidensis MR-1],304,10,0,10,21,,,,,
GCA_000786775.1,KHE94070.1,MAG: putative heme protein [Candidatus Scalindua brodae],447,10,0,10,25,,,,,
GCA_000949635.1,GAN31712.1,hypothetical multiheme protein [Candidatus Brocadia sinica JPN1],384,10,0,10,24,,,,,
GCA_000949635.1,GAN34262.1,hypothetical multiheme protein [Candidatus Brocadia sinica JPN1],433,10,0,10,23,,,,,
GCA_011066545.1,QII09427.1,putative multiheme protein [Candidatus Kuenenia stuttgartiensis],419,10,0,10,23,,,,,
GCA_030583625.1,WKZ16135.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],480,10,0,10,23,,,,,
GCF_000007985.2,WP_010942843.1,GSU2203 family decaheme c-type cytochrome [Geobacter sulfurreducens],363,10,0,10,21,,,,,
GCF_000007985.2,WP_010943565.1,selenite/tellurite reduction operon b-type cytochrome iron-sulfur cluster-binding subunit ExtO [Geobacter sulfurreducens],421,10,0,10,22,,,,,
GCF_000007985.2,WP_010943843.1,cytochrome c3 family protein [Geobacter sulfurreducens],576,10,0,10,25,,,,,
GCF_000146165.2,WP_011071629.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],318,10,0,10,20,,,,,
GCF_000146165.2,WP_011071811.1,OmcA/MtrC family decaheme c-type cytochrome [Shewanella oneidensis],759,10,0,10,26,,,,,
GCF_000146165.2,WP_011071900.1,decaheme c-type cytochrome MtrA [Shewanella oneidensis],333,10,0,10,21,,,,,
GCF_000146165.2,WP_011071901.1,decaheme c-type cytochrome MtrC [Shewanella oneidensis],671,10,0,10,23,,,,,
GCF_000146165.2,WP_011071902.1,decaheme c-type cytochrome OmcA [Shewanella oneidensis],735,10,0,10,25,,,,,
GCF_000146165.2,WP_011071903.1,decaheme c-type cytochrome MtrF [Shewanella oneidensis],639,10,0,10,25,,,,,
GCF_000146165.2,WP_011071905.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],321,10,0,10,20,,,,,
GCF_000146165.2,WP_238560522.1,DmsE family decaheme c-type cytochrome [Shewanella oneidensis],316,10,0,10,21,,,,,
GCF_000786775.1,WP_034401653.1,hypothetical protein [Candidatus Scalindua brodae],447,10,0,10,25,,,,,
GCF_000949635.1,WP_052561545.1,cytochrome c3 family protein [Candidatus Brocadia sinica],384,10,0,10,24,,,,,
GCF_000949635.1,WP_052564298.1,cytochrome c3 family protein [Candidatus Brocadia sinica],433,10,0,10,23,,,,,
GCF_011066545.1,WP_164994282.1,hypothetical protein [Candidatus Kuenenia stuttgartensis],419,10,0,10,23,,,,,
GCA_000007985.2,AAR33608.1,"cytochrome c,  and cytochrome b [Geobacter sulfurreducens PCA]",619,9,0,9,18,,,,,
GCA_000007985.2,AAR33946.2,cytochrome c [Geobacter sulfurreducens PCA],337,9,0,9,24,,,,,
GCA_000007985.2,AAR34604.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],337,9,0,9,22,,,,,
GCA_000007985.2,AAR36528.1,cytochrome c [Geobacter sulfurreducens PCA],591,9,0,9,21,,,,,
GCA_000008325.1,AAU90385.1,cytochrome c5530 family protein [Methylococcus capsulatus str. Bath],969,9,0,9,24,,,,,
GCA_000008325.1,AAU90411.1,cytochrome c5530 family protein [Methylococcus capsulatus str. Bath],1107,9,0,9,24,,,,,
GCA_000008325.1,AAU91624.1,cytochrome c5530 family protein [Methylococcus capsulatus str. Bath],1062,9,0,9,25,,,,,
GCA_000008325.1,AAU91739.1,cytochrome c5530 family protein [Methylococcus capsulatus str. Bath],1069,9,0,9,24,,,,,
GCA_000019665.1,ACD84488.1,Cytochrome c family protein [Methylacidiphilum infernorum V4],731,9,0,9,19,,,,,
GCA_000091165.1,CBE67880.1,putative deca-heme c-type cytochrome (fragment) [Candidatus Methylomirabilis oxygeniifera],333,9,0,9,21,,,,,
GCA_000091165.1,CBE67884.1,exported protein of unknown function [Candidatus Methylomirabilis oxygeniifera],422,9,0,9,18,,,,,
GCA_000214665.1,AEG00469.1,cell surface receptor IPT/TIG domain protein [Methylomonas methanica MC09],724,9,0,9,21,,,,,
GCA_000297415.1,CCG93258.1,putative hydroxylamine oxidoreductase [Methylacidiphilum fumariolicum SolV],715,9,0,9,19,,,,,
GCA_027571405.1,WBJ99476.1,cytochrome c3 family protein [Methylocystis parvus OBBP],308,9,0,9,21,,,,,
GCF_000007985.2,WP_010940947.1,cytochrome c3 family protein [Geobacter sulfurreducens],619,9,0,9,18,,,,,
GCF_000007985.2,WP_010941884.1,DmsE family decaheme c-type cytochrome [Geobacter sulfurreducens],337,9,0,9,22,,,,,
GCF_000007985.2,WP_010943759.1,cytochrome c3 family protein [Geobacter sulfurreducens],591,9,0,9,21,,,,,
GCF_000007985.2,WP_235044958.1,cytochrome c3 family protein [Geobacter sulfurreducens],284,9,0,9,21,,,,,
GCF_000008325.1,WP_010959699.1,PKD domain-containing protein [Methylococcus capsulatus],969,9,0,9,24,,,,,
GCF_000008325.1,WP_010961396.1,cytochrome c5530 family protein [Methylococcus capsulatus],1062,9,0,9,25,,,,,
GCF_000008325.1,WP_041360666.1,hypothetical protein [Methylococcus capsulatus],1080,9,0,9,24,,,,,
GCF_000008325.1,WP_143708536.1,cytochrome C [Methylococcus capsulatus],1037,9,0,9,24,,,,,
GCF_000019665.1,WP_148205258.1,multiheme c-type cytochrome [Candidatus Methylacidiphilum infernorum],719,9,0,9,19,,,,,
GCF_000091165.1,WP_015743395.1,hypothetical protein [Candidatus Methylomirabilis oxyfera],422,9,0,9,18,,,,,
GCF_000091165.1,WP_044595708.1,"hypothetical protein, partial [Candidatus Methylomirabilis oxyfera]",291,9,0,9,20,,,,,
GCF_000214665.1,WP_238527351.1,carboxypeptidase regulatory-like domain-containing protein [Methylomonas methanica],552,9,0,9,20,,,,,
GCF_000297415.1,WP_009061861.1,multiheme c-type cytochrome [Candidatus Methylacidiphilum fumarolicum],715,9,0,9,19,,,,,
GCF_027571405.1,WP_016920456.1,cytochrome c3 family protein [Methylocystis parvus],308,9,0,9,21,,,,,
GCA_000007985.2,AAR33689.1,cytochrome c nitrite reductase [Geobacter sulfurreducens PCA],533,7,1,8,17,,,,,
GCA_000007985.2,AAR33947.1,cytochrome c [Geobacter sulfurreducens PCA],330,8,0,8,17,,,,,
GCA_000007985.2,AAR35577.1,cytochrome c [Geobacter sulfurreducens PCA],456,8,0,8,17,,,,,
GCA_000007985.2,AAR35675.1,cytochrome c [Geobacter sulfurreducens PCA],482,8,0,8,19,,,,,
GCA_000007985.2,AAR36104.1,cytochrome c [Geobacter sulfurreducens PCA],231,8,0,8,16,,,,,
GCA_000007985.2,AAR36110.1,cytochrome c [Geobacter sulfurreducens PCA],231,8,0,8,16,,,,,
GCA_000008325.1,AAU90410.1,cytochrome c5530 [Methylococcus capsulatus str. Bath],1158,8,0,8,21,,,,,
GCA_000008325.1,AAU92745.1,hydroxylamine oxydoreductase [Methylococcus capsulatus str. Bath],559,8,0,8,17,,,,,
GCA_000091165.1,CBE68727.1,hypothetical octaheam cytochrome c [Candidatus Methylomirabilis oxygeniifera],856,8,0,8,16,,,,,
GCA_000091165.1,CBE69335.1,Hydroxylamine oxidase precursor [Candidatus Methylomirabilis oxygeniifera],428,8,0,8,18,,,,,
GCA_000091165.1,CBE69546.1,Similar to hydroxylamine oxidoreductase hao [Candidatus Methylomirabilis oxygeniifera],462,8,0,8,16,,,,,
GCA_000146165.2,AAN57117.1,octaheme tetrathionate reductase Otr [Shewanella oneidensis MR-1],461,8,0,8,17,,,,,
GCA_000214275.3,EIC30443.1,hypothetical protein Metal_2745 [Methylomicrobium album BG8],557,8,0,8,16,,,,,
GCA_000496735.2,ESS73618.1,hydroxylamine oxidoreductase Hao [Methyloglobulus morosus KoM1],539,8,0,8,18,,,,,
GCA_000685155.1,KCZ70387.1,hypothetical protein ANME2D_03302 [Candidatus Methanoperedens nitroreducens],443,8,0,8,16,,,,,
GCA_000685155.1,KCZ70808.1,hypothetical protein ANME2D_02833 [Candidatus Methanoperedens nitroreducens],3539,8,0,8,16,,,,,
GCA_000685155.1,KCZ73062.1,doubled CXXCH motif-containing protein [Candidatus Methanoperedens nitroreducens],427,8,0,8,16,,,,,
GCA_000685155.1,KCZ73597.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitroreducens],503,8,0,8,16,,,,,
GCA_000786775.1,KHE90572.1,MAG: hydroxylamine oxidoreductase [Candidatus Scalindua brodae],523,8,0,8,17,,,,,
GCA_000786775.1,KHE90580.1,MAG: hydroxylamine oxidoreductase [Candidatus Scalindua brodae],585,8,0,8,16,,,,,
GCA_000786775.1,KHE92011.1,"MAG: hydroxylamine oxidoreductase, partial [Candidatus Scalindua brodae]",550,8,0,8,16,,,,,
GCA_000786775.1,KHE92664.1,MAG: hydroxylamine oxidoreductase [Candidatus Scalindua brodae],540,8,0,8,20,,,,,
GCA_000786775.1,KHE93034.1,MAG: hypothetical protein SCABRO_01197 [Candidatus Scalindua brodae],533,8,0,8,18,,,,,
GCA_000786775.1,KHE93072.1,MAG: putative heme protein [Candidatus Scalindua brodae],276,8,0,8,16,,,,,
GCA_000786775.1,KHE93894.1,MAG: putative cytochrome c [Candidatus Scalindua brodae],951,8,0,8,16,,,,,
GCA_000949635.1,GAN31630.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],536,8,0,8,17,,,,,
GCA_000949635.1,GAN31798.1,hypothetical cytochrome protein [Candidatus Brocadia sinica JPN1],616,8,0,8,18,,,,,
GCA_000949635.1,GAN31997.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],580,8,0,8,16,,,,,
GCA_000949635.1,GAN32206.1,hydroxylamine oxydoreductase [Candidatus Brocadia sinica JPN1],483,8,0,8,16,,,,,
GCA_000949635.1,GAN32945.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],549,8,0,8,20,,,,,
GCA_000949635.1,GAN33619.1,hypothetical cytochrome c protein [Candidatus Brocadia sinica JPN1],954,8,0,8,16,,,,,
GCA_000949635.1,GAN33950.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],529,8,0,8,18,,,,,
GCA_000949635.1,GAN34141.1,hydroxylamine oxidase [Candidatus Brocadia sinica JPN1],537,8,0,8,20,,,,,
GCA_000949635.1,GAN34261.1,hypothetical cytochrome protein [Candidatus Brocadia sinica JPN1],621,8,0,8,21,,,,,
GCA_000949635.1,GAN34508.1,multicopper oxidase [Candidatus Brocadia sinica JPN1],875,8,0,8,19,,,,,
GCA_000949635.1,GAN34989.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],453,8,0,8,22,,,,,
GCA_000949635.1,GAN35315.1,hydroxylamine oxidoreductase [Candidatus Brocadia sinica JPN1],496,8,0,8,18,,,,,
GCA_000968535.1,CCE23516.1,Hydroxylamine oxidoreductase [Methylotuvimicrobium alcaliphilum 20Z],551,8,0,8,16,,,,,
GCA_001273775.1,ALA57709.1,putative octaheme cytochrome c [Nitrospira moscoviensis],474,8,0,8,17,,,,,
GCA_001753675.2,OQD44887.1,hypothetical protein BIY37_11225 [Candidatus Brocadia sapporoensis],542,8,0,8,18,,,,,
GCA_001753675.2,OQD44929.1,hydroxylamine oxidoreductase [Candidatus Brocadia sapporoensis],581,8,0,8,16,,,,,
GCA_001753675.2,OQD45415.1,hypothetical protein BIY37_08650 [Candidatus Brocadia sapporoensis],946,8,0,8,16,,,,,
GCA_001753675.2,OQD45607.1,hydroxylamine oxidoreductase [Candidatus Brocadia sapporoensis],549,8,0,8,20,,,,,
GCA_001753675.2,OQD46021.1,hydroxylamine oxidoreductase [Candidatus Brocadia sapporoensis],536,8,0,8,17,,,,,
GCA_001753675.2,OQD46062.1,hypothetical protein BIY37_05265 [Candidatus Brocadia sapporoensis],767,8,0,8,20,,,,,
GCA_001753675.2,OQD46201.1,hypothetical protein BIY37_04505 [Candidatus Brocadia sapporoensis],483,8,0,8,18,,,,,
GCA_001753675.2,OQD46723.1,hypothetical protein BIY37_01555 [Candidatus Brocadia sapporoensis],456,8,0,8,21,,,,,
GCA_001753675.2,OQD46828.1,hypothetical protein BIY37_01405 [Candidatus Brocadia sapporoensis],552,8,0,8,18,,,,,
GCA_001753675.2,OQD47018.1,hydroxylamine oxidoreductase [Candidatus Brocadia sapporoensis],535,8,0,8,20,,,,,
GCA_011066545.1,QII09856.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],554,8,0,8,18,,,,,
GCA_011066545.1,QII10407.1,putative cytochrome c protein [Candidatus Kuenenia stuttgartiensis],946,8,0,8,17,,,,,
GCA_011066545.1,QII12342.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],584,8,0,8,17,,,,,
GCA_011066545.1,QII12968.1,putative copper oxidase and hydroxylamine oxidoreductase (Fusion protein) [Candidatus Kuenenia stuttgartiensis],852,8,0,8,23,,,,,
GCA_011066545.1,QII12992.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],433,8,0,8,20,,,,,
GCA_011066545.1,QII13019.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],499,8,0,8,20,,,,,
GCA_011066545.1,QII13462.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],591,8,0,8,19,,,,,
GCA_011066545.1,QII13707.1,NO-producing hydroxylamine oxidase [Candidatus Kuenenia stuttgartiensis],536,8,0,8,19,,,,,
GCA_011066545.1,QII14326.1,putative hydroxylamine oxidoreductase hao [Candidatus Kuenenia stuttgartiensis],545,8,0,8,16,,,,,
GCA_027571405.1,WBJ98466.1,tetratricopeptide repeat protein [Methylocystis parvus OBBP],763,8,0,8,17,,,,,
GCA_027571405.1,WBK00306.1,hydroxylamine reductase [Methylocystis parvus OBBP],569,8,0,8,17,,,,,
GCA_030583625.1,WKZ14277.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],537,8,0,8,17,,,,,
GCA_030583625.1,WKZ14796.1,MAG: tetratricopeptide repeat protein [Candidatus Jettenia caeni],781,8,0,8,21,,,,,
GCA_030583625.1,WKZ14812.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],445,8,0,8,19,,,,,
GCA_030583625.1,WKZ14897.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],502,8,0,8,17,,,,,
GCA_030583625.1,WKZ15226.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],581,8,0,8,16,,,,,
GCA_030583625.1,WKZ15625.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],836,8,0,8,19,,,,,
GCA_030583625.1,WKZ15807.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],530,8,0,8,17,,,,,
GCA_030583625.1,WKZ16191.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],537,8,0,8,20,,,,,
GCA_030583625.1,WKZ16741.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],579,8,0,8,22,,,,,
GCA_030583625.1,WKZ16869.1,MAG: c-type cytochrome [Candidatus Jettenia caeni],945,8,0,8,16,,,,,
GCA_054182965.1,MGY8629228.1,hydroxylamine oxidoreductase [Nitrosomonas europaea],570,8,0,8,18,,,,,
